id,jurisdiction__name,jurisdiction_id,court__name_abbreviation,court_id,reporter__full_name,reporter_id,label,date,degree_from_slave_case,cites,cites_short_name,target,slave_state
4894185,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"Florence M. Sewall and Others, Appellants, v. Edmond J. Fitz Gibbon, Respondent",1929,2,29 Ala. 623,Crimm's Adm'rs v. Crawford,11256465,0
1988779,N.Y.,1,N.Y.,24653,New York Reports,20,"American Surety Company of New York, Respondent, v. Wallace L. Conner, Defendant, and Bessie F. B. Conner, Appellant",1929,2,60 Ala. 448,Westmoreland & Trousdale v. Foster,5613191,0
1988749,N.Y.,1,N.Y.,24653,New York Reports,20,"In the Matter of the Estate of Ralph F. Gilman, Deceased. Mabel R. Hunnewell, as Administratrix, Appellant; Lester C. Gilman, Respondent",1929,2,60 Ala. 448,Westmoreland & Trousdale v. Foster,5613191,0
1989768,N.Y.,1,N.Y.,24653,New York Reports,20,"John A. Fitzpatrick, Respondent, v. International Railway Company, Appellant",1929,2,60 Ala. 448,Westmoreland & Trousdale v. Foster,5613191,0
4909050,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"Emil F. Kupfer and Another, Respondents, v. Jessie R. Thompson and Others, Respondents, Impleaded with Packard Motor Car Company of New York and Ida Erdmann and Another, Appellants",1929,2,94 Ala. 616,Lucas v. Pittman,3330421,0
4932827,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"Flora B. Mabie, Appellant, v. William W. Fuller, Respondent",1930,2,94 Ala. 616,Lucas v. Pittman,3330421,0
4930890,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"Roscoe V. Wolfe, Respondent, v. Albert E. Schalkenbach, Appellant",1930,2,97 Ala. 383,Dickson v. McLarney,3215655,0
1993254,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Respondent, v. Alex Bogdanoff, Max Rybarczyk and Stephen Grzechowiak, Appellants",1930,2,97 Ala. 383,Dickson v. McLarney,3215655,0
4946445,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"Thomas F. Fahey, Appellant, v. Thomas P. B. Kennedy and Another, Doing Business under the Firm Name and Style of Kennedy Brothers, and Also under the Name of Kennedy Garage, Respondents",1930,2,126 Ala. 449,Hall v. Henderson,3499998,0
1993268,N.Y.,1,N.Y.,24653,New York Reports,20,"Francis F. Neverman, Respondent, v. Jane Neverman et al., Appellants",1930,2,175 Ind. 181,Ditton v. Hart,1659406,0
1993275,N.Y.,1,N.Y.,24653,New York Reports,20,"Benedict H. Gruntal et al., Copartners under the Firm Name of Gruntal, Lilienthal & Co., Respondents, v. United States Fidelity and Guaranty Company et al., Defendants, and National Surety Company et al., Appellants",1930,2,175 Ind. 181,Ditton v. Hart,1659406,0
810469,N.Y.,1,N.Y. Sup. Ct.,8791,New York Miscellaneous Reports,65,"Town of Manlius, Plaintiff, v. Town of Pompey, Defendant",1930,2,175 Ind. 181,Ditton v. Hart,1659406,0
1996257,N.Y.,1,N.Y.,24653,New York Reports,20,"Cold Spring Light, Heat and Power Company, Appellant, v. Charles M. Selleck et al., as Trustees of the Village of Cold Spring, Respondents. (Actions 1 and 2.)",1931,2,22 Ala. 512,Williams v. Sims,8496130,0
5020513,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"In the Matter of the Application for Discovery and Delivery of Property Withheld by Charles H. Van Buren and Others from the Estate of Sara Dade Byles Comfort, Deceased; Jessie F. Comfort, Appellant; Charles H. Van Buren, Respondent",1931,2,11 Tex. 597,Dunlap's Adm'r v. Wright,2053794,0
1999826,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York ex rel. Nathan J. Bensky, Appellant, v. Warden of the City Prison et al., Respondents",1932,2,13 Wis. 172,Newman v. Tymeson,8708407,0
1999694,N.Y.,1,N.Y.,24653,New York Reports,20,"In the Matter of the Accounting of Brooklyn Trust Company, as Trustee under the Will of Theodore F. Jackson, Deceased, Respondent. Stewart M. Neff, as Executor of Cornelia B. Jackson, Deceased, Appellant; Joseph H. Jackson et al., Respondents",1932,2,38 Mo. 213,Chappell v. Allen,8850548,0
5022987,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"Sol Lavisch, as General Guardian of the Property and Estate of Sarah Maidman and Samuel Maidman, Infants, Appellant, v. Louis Schwartz and Another, Respondents, Impleaded with Frank Hatch, as Administrator, etc., of Dora Hatch, Deceased, Defendant; Sol Lavisch, as General Guardian of the Property and Estate of Sarah Maidman and Samuel Maidman, Infants, Appellant, v. Annie Goldstein, Respondent, Impleaded with Frank Shultz and Others, Defendants",1932,2,38 Mo. 213,Chappell v. Allen,8850548,0
2001205,N.Y.,1,N.Y.,24653,New York Reports,20,"Rebecca G. Bowen, Respondent, v. Paul A. Horgan et al., Defendants; Dina K. Poole, Respondent. Samuel Goldinger et al., Appellants",1932,2,27 Ohio St. 285,Reid v. Sycks,892505,0
5081608,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"Joseph P. Fell, as Administrator with the Will Annexed of Lilla B. McCready, Deceased, Appellant, Respondent, v. Ira T. McCready and Others, Respondents, Appellants; Lola Lee Butler and Others, Respondents, Appellants, v. Benjamin Franklin Adams and Others, Appellants, Respondents",1932,2,12 N.Y. 202,Westervelt v. Gregg,2016205,0
5019380,N.Y.,1,N.Y. App. Div.,8994,Appellate Division Reports,107,"Christopher Sinclair, Respondent, v. The Positype Corporation of America, Appellant",1933,2,12 N.Y. 202,Westervelt v. Gregg,2016205,0
827700,N.Y.,1,N.Y. Ct. Gen. Sess.,9672,New York Miscellaneous Reports,65,"The People of the State of New York, Plaintiff, v. Ralph Florence and William Vogel, Defendants",1933,2,12 N.Y. 202,Westervelt v. Gregg,2016205,0
